metric,value,unit
valid_run_count,15,count
tracker_yaw_sign_correction,-1.0,unitless
tracker_corrected_yaw_change_mean,43.2160768,deg
tracker_corrected_yaw_change_std,0.3974347133282532,deg
tracker_corrected_yaw_error_mean,-1.7839232,deg
tracker_corrected_yaw_error_std,0.3974347133282532,deg
tracker_drift_mu_x,0.005738066666666672,m
tracker_drift_mu_y,-0.0024115333333333323,m
tracker_drift_sigma_xx,2.396064952380934e-07,m^2
tracker_drift_sigma_xy,1.1827882380952257e-07,m^2
tracker_drift_sigma_yy,2.5215740952380504e-07,m^2
tracker_drift_std_x,0.0004894961646816994,m
tracker_drift_std_y,0.000502152775083246,m
tracker_local_drift_mu_x,-0.0024378697466522,m
tracker_local_drift_mu_y,-0.005727724518021114,m
tracker_local_drift_sigma_xx,2.435731242347798e-07,m^2
tracker_local_drift_sigma_xy,-1.1565820617762227e-07,m^2
tracker_local_drift_sigma_yy,2.3840331578428797e-07,m^2
tracker_local_drift_std_x,0.0004935312798949828,m
tracker_local_drift_std_y,0.00048826562011295446,m
tracker_drift_magnitude_mean,0.006249054598303316,m
tracker_drift_magnitude_std,0.0003998191922931822,m
odom_yaw_change_mean,43.52777105181388,deg
odom_yaw_change_std,0.2915411272230067,deg
odom_yaw_error_mean,-1.4722289481861177,deg
odom_yaw_error_std,0.2915411272230067,deg
odom_drift_magnitude_mean,0.0003234615681105274,m
odom_drift_magnitude_std,0.0002176450372516848,m
