metric,value,unit
valid_run_count,15,count
tracker_yaw_sign_correction,-1.0,unitless
tracker_corrected_yaw_change_mean,-84.98380166666668,deg
tracker_corrected_yaw_change_std,1.965297500177221,deg
tracker_corrected_yaw_error_mean,5.01619833333333,deg
tracker_corrected_yaw_error_std,1.965297500177221,deg
tracker_drift_mu_x,-0.010039599999999997,m
tracker_drift_mu_y,-0.0074252666666666635,m
tracker_drift_sigma_xx,3.2118611428571953e-07,m^2
tracker_drift_sigma_xy,-6.307681428571543e-08,m^2
tracker_drift_sigma_yy,3.713109238095311e-07,m^2
tracker_drift_std_x,0.0005667328420743935,m
tracker_drift_std_y,0.0006093528729804522,m
tracker_local_drift_mu_x,-0.007366634803841582,m
tracker_local_drift_mu_y,0.010083528308363605,m
tracker_local_drift_sigma_xx,3.5241765079737244e-07,m^2
tracker_local_drift_sigma_xy,5.642075010187376e-08,m^2
tracker_local_drift_sigma_yy,3.2218840769504e-07,m^2
tracker_local_drift_std_x,0.0005936477497619042,m
tracker_local_drift_std_y,0.0005676164265549756,m
tracker_drift_magnitude_mean,0.012502549756747623,m
tracker_drift_magnitude_std,0.0005285425175996041,m
odom_yaw_change_mean,-84.88248964368934,deg
odom_yaw_change_std,2.009639413531343,deg
odom_yaw_error_mean,5.117510356310661,deg
odom_yaw_error_std,2.0096394135313442,deg
odom_drift_magnitude_mean,0.00031145508418676295,m
odom_drift_magnitude_std,0.0001094761924421953,m
