index,grid_x,grid_y,world_x_m,world_y_m,segment_distance_m,cumulative_distance_m
0,22,16,0.07499999999999996,-1.415,0.0,0.0
1,22,27,0.07499999999999996,-0.8650000000000002,0.55,0.55
2,28,33,0.375,-0.5650000000000002,0.4242640687119285,0.9742640687119286
3,28,35,0.375,-0.4650000000000001,0.1,1.0742640687119287
4,29,36,0.42500000000000004,-0.41500000000000004,0.07071067811865477,1.1449747468305835
5,29,37,0.42500000000000004,-0.3650000000000002,0.05,1.1949747468305836
6,33,41,0.625,-0.16500000000000004,0.28284271247461906,1.4778174593052027
7,33,42,0.625,-0.11500000000000021,0.05,1.5278174593052027
8,34,43,0.675,-0.06499999999999995,0.07071067811865477,1.5985281374238576
9,34,48,0.675,0.18500000000000005,0.25,1.8485281374238576
10,35,49,0.7250000000000001,0.23499999999999988,0.07071067811865477,1.9192388155425124
11,35,50,0.7250000000000001,0.28500000000000014,0.05,1.9692388155425125
12,36,51,0.7750000000000001,0.33499999999999996,0.07071067811865477,2.039949493661167
13,36,68,0.7750000000000001,1.185,0.8500000000000001,2.889949493661167
14,37,69,0.825,1.2349999999999999,0.07071067811865477,2.9606601717798218
15,37,70,0.825,1.2850000000000001,0.05,3.0106601717798216
16,40,73,0.9749999999999999,1.435,0.21213203435596426,3.222792206135786
17,41,73,1.0250000000000001,1.435,0.05,3.2727922061357857
18,42,74,1.075,1.4849999999999999,0.07071067811865477,3.3435028842544403
19,43,74,1.1250000000000002,1.4849999999999999,0.05,3.39350288425444
20,44,75,1.175,1.5350000000000001,0.07071067811865477,3.4642135623730947
21,46,75,1.2750000000000001,1.5350000000000001,0.1,3.564213562373095
22,47,76,1.325,1.585,0.07071067811865477,3.6349242404917494
