leg_index,point_index,grid_x,grid_y,world_x_m,world_y_m,segment_length_m,cumulative_length_m
0,0,43,41,-0.6449999999999996,0.38500000000000023,0.0,0.0
0,1,44,40,-0.5949999999999998,0.33499999999999996,0.07071067811865477,0.07071067811865477
0,2,45,39,-0.5449999999999999,0.28500000000000014,0.07071067811865477,0.14142135623730953
0,3,46,38,-0.49499999999999966,0.2350000000000001,0.07071067811865477,0.21213203435596428
0,4,46,37,-0.49499999999999966,0.18500000000000005,0.05,0.26213203435596427
0,5,46,36,-0.49499999999999966,0.13500000000000023,0.05,0.31213203435596426
0,6,46,35,-0.49499999999999966,0.08500000000000019,0.05,0.36213203435596425
0,7,46,34,-0.49499999999999966,0.03500000000000014,0.05,0.41213203435596424
0,8,46,33,-0.49499999999999966,-0.014999999999999902,0.05,0.4621320343559642
0,9,46,32,-0.49499999999999966,-0.06499999999999995,0.05,0.5121320343559642
0,10,47,31,-0.44499999999999984,-0.11499999999999977,0.07071067811865477,0.5828427124746189
0,11,48,30,-0.3949999999999996,-0.1649999999999998,0.07071067811865477,0.6535533905932737
0,12,49,29,-0.34499999999999975,-0.21499999999999986,0.07071067811865477,0.7242640687119284
0,13,49,28,-0.34499999999999975,-0.2649999999999999,0.05,0.7742640687119284
0,14,50,28,-0.2949999999999995,-0.2649999999999999,0.05,0.8242640687119285
1,0,50,28,-0.2949999999999995,-0.2649999999999999,0.0,0.0
1,1,49,28,-0.34499999999999975,-0.2649999999999999,0.05,0.05
1,2,49,29,-0.34499999999999975,-0.21499999999999986,0.05,0.1
1,3,49,30,-0.34499999999999975,-0.1649999999999998,0.05,0.15000000000000002
1,4,50,31,-0.2949999999999995,-0.11499999999999977,0.07071067811865477,0.2207106781186548
1,5,50,32,-0.2949999999999995,-0.06499999999999995,0.05,0.2707106781186548
1,6,50,33,-0.2949999999999995,-0.014999999999999902,0.05,0.3207106781186548
1,7,51,34,-0.24499999999999966,0.03500000000000014,0.07071067811865477,0.39142135623730956
1,8,51,35,-0.24499999999999966,0.08500000000000019,0.05,0.44142135623730955
1,9,52,36,-0.19499999999999984,0.13500000000000023,0.07071067811865477,0.5121320343559643
1,10,53,37,-0.14499999999999957,0.18500000000000005,0.07071067811865477,0.582842712474619
1,11,54,38,-0.09499999999999975,0.2350000000000001,0.07071067811865477,0.6535533905932738
1,12,55,39,-0.044999999999999485,0.28500000000000014,0.07071067811865477,0.7242640687119285
1,13,56,40,0.0050000000000003375,0.33499999999999996,0.07071067811865477,0.7949747468305832
