metric,value,unit
real_valid_run_count,30,count
endpoint_mu_x,0.19624676666666666,m
endpoint_mu_y,0.051867699999999996,m
endpoint_sigma_xx,5.473444943678169e-06,m^2
endpoint_sigma_xy,-1.6119052448275846e-06,m^2
endpoint_sigma_yy,7.459992355172417e-06,m^2
endpoint_std_x,0.002339539472562532,m
endpoint_std_y,0.0027312986572640527,m
endpoint_ellipse_95_major_axis,0.01415418826784491,m
endpoint_ellipse_95_minor_axis,0.010468803461143825,m
motion_error_mu_x,0.0018087656225980002,m
motion_error_mu_y,-0.0018510836293532322,m
motion_error_sigma_xx,7.179226197269747e-07,m^2
motion_error_sigma_xy,-5.5947776174444285e-08,m^2
motion_error_sigma_yy,3.1317874087443237e-06,m^2
motion_error_std_x,0.0008473031451180709,m
motion_error_std_y,0.0017696856807762004,m
motion_error_ellipse_95_major_axis,0.008664941537666249,m
motion_error_ellipse_95_minor_axis,0.004144060722420977,m
yaw_mean,-179.8758616138019,deg
yaw_std,0.5049841369199375,deg
sim2real_bias_dx,-0.006053367716321937,m
sim2real_bias_dy,-0.0018494877678102122,m
sim2real_bias_magnitude,0.006329602334451056,m
