metric,value,unit
valid_run_count,15,count
tracker_yaw_sign_correction,-1.0,unitless
tracker_corrected_yaw_change_mean,175.1107989333333,deg
tracker_corrected_yaw_change_std,0.4453230286043493,deg
tracker_corrected_yaw_error_mean,-4.889201066666668,deg
tracker_corrected_yaw_error_std,0.4453230286043493,deg
tracker_drift_mu_x,0.018833199999999998,m
tracker_drift_mu_y,0.0009480000000000026,m
tracker_drift_sigma_xx,2.257873142857179e-07,m^2
tracker_drift_sigma_xy,1.5301292857142364e-07,m^2
tracker_drift_sigma_yy,3.6995671428570734e-07,m^2
tracker_drift_std_x,0.0004751708264253161,m
tracker_drift_std_y,0.000608240671351158,m
tracker_local_drift_mu_x,-0.018844122288361954,m
tracker_local_drift_mu_y,-0.0007653130989677064,m
tracker_local_drift_sigma_xx,2.2917065735505912e-07,m^2
tracker_local_drift_sigma_xy,1.21481826071241e-07,m^2
tracker_local_drift_sigma_yy,2.6101331601141874e-07,m^2
tracker_local_drift_std_x,0.0004787177219981094,m
tracker_local_drift_std_y,0.0005108946231968181,m
tracker_drift_magnitude_mean,0.018865906712756637,m
tracker_drift_magnitude_std,0.00048739603898526523,m
odom_yaw_change_mean,175.932922422084,deg
odom_yaw_change_std,0.3432783165766911,deg
odom_yaw_error_mean,-4.067077577916003,deg
odom_yaw_error_std,0.3432783165766911,deg
odom_drift_magnitude_mean,0.0003198385628344494,m
odom_drift_magnitude_std,0.00019407115251111914,m
