metric,value,unit
valid_run_count,15,count
tracker_yaw_sign_correction,-1.0,unitless
tracker_corrected_yaw_change_mean,-42.987162000000005,deg
tracker_corrected_yaw_change_std,0.28060305517097794,deg
tracker_corrected_yaw_error_mean,2.0128379999999972,deg
tracker_corrected_yaw_error_std,0.28060305517097794,deg
tracker_drift_mu_x,-0.006493733333333335,m
tracker_drift_mu_y,-0.0016917333333333303,m
tracker_drift_sigma_xx,1.4752635238095055e-07,m^2
tracker_drift_sigma_xy,-1.2319586190476347e-07,m^2
tracker_drift_sigma_yy,3.127307809523859e-07,m^2
tracker_drift_std_x,0.00038409159373898114,m
tracker_drift_std_y,0.0005592233730383467,m
tracker_local_drift_mu_x,-0.0016876141283244804,m
tracker_local_drift_mu_y,0.006494509918602592,m
tracker_local_drift_sigma_xx,3.173770491082544e-07,m^2
tracker_local_drift_sigma_xy,1.219763331892874e-07,m^2
tracker_local_drift_sigma_yy,1.4698766987620927e-07,m^2
tracker_local_drift_std_x,0.0005633622716407751,m
tracker_local_drift_std_y,0.00038338971018561424,m
tracker_drift_magnitude_mean,0.006735811012046988,m
tracker_drift_magnitude_std,0.0003087259707014877,m
odom_yaw_change_mean,-42.93322846267259,deg
odom_yaw_change_std,0.25254324115345095,deg
odom_yaw_error_mean,2.0667715373274103,deg
odom_yaw_error_std,0.25254324115345095,deg
odom_drift_magnitude_mean,0.00026383348846968163,m
odom_drift_magnitude_std,0.00019969724828098478,m
